gene_0001	seripauperin PAU8
gene_1486	dithiol glutaredoxin GRX2
gene_1487	hypothetical protein
gene_1488	Slf1p
gene_1489	putative glucokinase
gene_1490	Grh1p
gene_1491	protein disulfide isomerase EUG1
gene_1492	peptidylprolyl isomerase family protein FPR2
gene_1493	Urc2p
gene_1494	Sps2p
gene_1495	putative serine/threonine protein kinase SPS1
gene_1496	Age1p
gene_1497	hypothetical protein
gene_1498	hypothetical protein
gene_1499	Api2p
gene_1500	Sna2p
gene_1501	Rba50p
gene_1503	Hlr1p
gene_1504	ubiquinol--cytochrome-c reductase subunit 7
gene_1505	bifunctional AP-4-A phosphorylase/ADP sulfurylase
gene_1506	pantothenate kinase
gene_1507	Kre28p
gene_1508	glutathione-independent methylglyoxalase
gene_1509	Fit1p
gene_1510	glucose-inactivated glycerol proton symporter STL1
gene_1511	phenylacrylic acid decarboxylase PAD1
gene_1512	putative phenylacrylic acid decarboxylase FDC1
gene_1513	Irc4p
gene_1514	carbonyl reductase (NADPH-dependent)
gene_1515	seripauperin PAU10
gene_1516	Y' element ATP-dependent helicase protein 1 copy 1
gene_1517	Y' element ATP-dependent helicase
gene_1518	hypothetical protein
gene_1519	hypothetical protein
gene_1520	hypothetical protein
gene_1521	hypothetical protein
gene_1522	Rmd6p
gene_1523	D-lactate dehydrogenase
gene_1524	mannitol dehydrogenase DSF1
gene_1525	hexose transporter HXT13
gene_1526	hypothetical protein
gene_1527	hypothetical protein
gene_1528	D-amino-acid N-acetyltransferase
gene_1529	siderophore transporter
gene_1530	Avt2p
gene_1531	arginine permease CAN1
gene_1532	nitrogen permease regulating protein NPR2
gene_1533	kinesin motor protein CIN8
gene_1534	proteinase B
gene_1535	Som1p
gene_1536	phosphoacetylglucosamine mutase PCM1
gene_1537	Sdd1p
gene_1538	Hat2p
gene_1539	DNA-directed DNA polymerase
gene_1541	ribosomal 60S subunit protein L12A
gene_1542	Mak10p
gene_1543	Afg1p
gene_1544	H(+)-transporting V1 sector ATPase subunit D
gene_1545	mitochondrial 54S ribosomal protein RML2
gene_1549	seripauperin PAU2
gene_1550	Tca17p
gene_1551	fumarate reductase
gene_1552	threonine aldolase GLY1
gene_1553	Ies6p
gene_1554	hypothetical protein
gene_1555	guanosine diphosphatase
gene_1556	NADH/NAD(+) kinase
gene_1557	Utr2p
gene_1558	cytochrome c isoform 2
gene_1559	putative acireductone synthase UTR4
gene_1560	Rad23p
gene_1561	Anp1p
gene_1562	Utr5p
gene_1563	translation elongation factor eIF-5A
gene_1564	Mtc7p
gene_1566	MCM DNA helicase complex subunit MCM3
gene_1567	ion-transporting P-type ATPase SPF1
gene_1568	Hsp70 family ATPase ECM10
gene_1569	putative pyridoxal kinase BUD16
gene_1570	hypothetical protein
gene_1572	H(+)-transporting V0 sector ATPase subunit c
gene_1573	RNA binding protein SNU13
gene_1574	hypothetical protein
gene_1575	ubiquinol--cytochrome-c reductase catalytic subunit RIP1
gene_1576	hypothetical protein
gene_1577	Arf family guanine nucleotide exchange factor GEA2
gene_1578	orotidine-5'-phosphate decarboxylase
gene_1579	protein transporter TIM9
gene_1581	putative indolepyruvate decarboxylase family protein
gene_1582	SUMO ligase MMS21
gene_1583	Eaf5p
gene_1584	proteolipid ATPase
gene_1585	Gtt3p
gene_1586	nucleotide diphosphatase/phosphodiesterase NPP2
gene_1587	Edc3p
gene_1588	hypothetical protein
gene_1589	protein anchor VAC8
gene_1591	E2 ubiquitin-conjugating protein UBC8
gene_1592	1,4-alpha-glucan branching enzyme
gene_1594	hypothetical protein
gene_1596	amino acid starvation-responsive transcription factor GCN4
gene_1597	hypothetical protein
gene_1598	Mit1p
gene_1599	NAD+ transporter
gene_1600	Vab2p
gene_1601	Yea4p
gene_1602	tubulin-binding prefolding complex subunit GIM4
gene_1603	dolichyl-diphosphooligosaccharide-protein glycotransferase
gene_1604	Irc22p
gene_1605	alpha-1,3-mannosyltransferase MNN1
gene_1606	Nop16p
gene_1607	mannose-6-phosphate isomerase PMI40
gene_1608	Fmp52p
gene_1609	apyrase
gene_1610	RNA-binding GTPase NUG1
gene_1611	Pac2p
gene_1612	Tma20p
gene_1614	GTP-Rho binding exocyst subunit SEC3
gene_1615	Ran GTPase-binding protein NTF2
gene_1616	bifunctional 4-hydroxy-4-methyl-2-oxoglutarate aldolase/oxaloacetate decarboxylase
gene_1617	GPI-anchored mannoprotein
gene_1619	proteasome core particle subunit beta 4
gene_1620	DEAH-box ATP-dependent RNA helicase PRP22
gene_1621	oxygen-dependent protoporphyrinogen oxidase
gene_1622	Bud25p
gene_1623	medium-chain fatty acid-CoA ligase FAA2
gene_1624	microtubule-binding protein BIM1
gene_1625	AAA family ATPase AFG3
gene_1626	kinetochore-associated Ndc80 complex subunit SPC25
gene_1627	inositol phosphosphingolipid phospholipase
gene_1628	Arf family guanine nucleotide exchange factor SBH2
gene_1629	guanine nucleotide-binding protein subunit alpha
gene_1630	proteasome regulatory particle lid subunit RPN3
gene_1631	Srb4p
gene_1632	pyrroline-5-carboxylate reductase
gene_1633	carnitine O-acetyltransferase YAT2
gene_1634	translation initiation factor eIF2 subunit gamma
gene_1636	CDP-diacylglycerol-serine O-phosphatidyltransferase
gene_1637	Gal83p
gene_1638	Mig3p
gene_1639	mRNA splicing protein SMB1
gene_1640	Chz1p
gene_1641	Rab family GTPase YPT31
gene_1642	Fir1p
gene_1643	Zrg8p
gene_1644	hypothetical protein
gene_1645	Edc2p
gene_1646	ATP-binding cassette family ATPase ARB1
gene_1647	bifunctional nucleotidase/lysophosphatidic acid phosphatase
gene_1648	Smc5-Smc6 complex subunit KRE29
gene_1649	Fmp49p
gene_1650	putative GDP-mannose transporter
gene_1651	hypothetical protein
gene_1652	nitrogen-responsive transcriptional regulator GLN3
gene_1653	crossover junction endodeoxyribonuclease
gene_1654	peptide-methionine-S-sulfoxide reductase
gene_1655	adenosylhomocysteinase
gene_1656	Erg28p
gene_1657	Mei4p
gene_1658	Aca1p
gene_1659	Spo73p
gene_1660	putative AAA family ATPase SAP1
gene_1661	Caj1p
gene_1663	Isd11p
gene_1664	oxidative DNA demethylase
gene_1665	mitochondrial 37S ribosomal protein RSM18
gene_1666	[Histone H3]-lysine-36 demethylase
gene_1667	aspartate kinase
gene_1668	Cu/Pi carrier
gene_1669	hypothetical protein
gene_1670	Gip2p
gene_1671	ATP phosphoribosyltransferase
gene_1672	purine-cytosine permease
gene_1673	ribosomal 60S subunit protein L34A
gene_1674	putative isoleucine biosynthesis protein HMF1
gene_1675	Pet117p
gene_1676	Pcl6p
gene_1677	purine-cytosine permease
gene_1678	purine-cytosine permease
gene_1679	fatty acid synthase CEM1
gene_1680	glycerol-1-phosphatase HOR2
gene_1681	Tho1p
gene_1682	Vhr2p
gene_1683	isocitrate lyase 1
gene_1685	Rrt13p
gene_1686	Rgi1p
gene_1687	CCR4-NOT core ubiquitin-protein ligase subunit MOT2
gene_1688	bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase
gene_1689	ribonucleotide-diphosphate reductase subunit RNR1
gene_1690	Tda2p
gene_1691	Vtc1p
gene_1692	aldehyde dehydrogenase (NAD(P)(+)) ALD5
gene_1693	ribosomal 40S subunit protein S24A
gene_1694	Yos1p
gene_1695	tyrosine protein phosphatase PTP3
gene_1697	hypothetical protein
gene_1698	Mrx1p
gene_1699	aminopeptidase
gene_1700	hypothetical protein
gene_1701	hypothetical protein
gene_1702	Aim9p
gene_1704	phosphoglycerate dehydrogenase SER3
gene_1705	Utp7p
gene_1706	GET complex subunit GET2
gene_1707	hypothetical protein
gene_1708	hypothetical protein
gene_1709	threonine ammonia-lyase ILV1
gene_1710	putative proline--tRNA ligase AIM10
gene_1711	Arf family guanine nucleotide exchange factor SBH1
gene_1712	Dot6p
gene_1713	type 2C protein phosphatase PTC2
gene_1714	anthranilate synthase TRP2
gene_1715	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
gene_1716	Ies5p
gene_1717	TORC2 complex subunit TSC11
gene_1718	Aim11p
gene_1719	proteasome core particle subunit beta 3
gene_1720	recombinase RAD51
gene_1721	Shc1p
gene_1723	putative ubiquitin-specific protease UBP9
gene_1724	ribose phosphate diphosphokinase subunit PRS2
gene_1725	E2 ubiquitin-conjugating protein UBC6
gene_1726	Ast2p
gene_1727	ribosomal 40S subunit protein S8B
gene_1728	Hsp70 family chaperone SSA4
gene_1729	Rtt105p
gene_1730	Nup157p
gene_1731	Mam1p
gene_1732	RNA export factor GLE2
gene_1734	Kap123p
gene_1735	SBF complex DNA-binding subunit SWI4
gene_1736	U6 snRNA complex subunit LSM4
gene_1737	Tmn3p
gene_1738	Boi2p
gene_1739	Spr6p
gene_1740	SUMO-targeted ubiquitin ligase complex subunit SLX8
gene_1741	ribosomal 60S subunit protein L23B
gene_1742	osmosensor SHO1
gene_1743	aspartate/glutamate transporter
gene_1744	phosphatidylinositol-binding protein SCS2
gene_1745	hypothetical protein
gene_1746	ADP-ribosylation factor GTPase-activating protein
gene_1747	casein kinase YCK3
gene_1748	Dse1p
gene_1749	NEDD4 family E3 ubiquitin-protein ligase
gene_1750	rRNA-processing protein NSA2
gene_1751	Lcp5p
gene_1752	Vfa1p
gene_1753	serine/threonine protein kinase SAK1
gene_1754	Com2p
gene_1755	ribosomal 40S subunit protein S26B
gene_1757	Pmd1p
gene_1759	type 1 serine/threonine-protein phosphatase catalytic subunit GLC7
gene_1762	Mg-dependent acid phosphatase
gene_1763	hypothetical protein
gene_1765	Gdi1p
gene_1766	hypothetical protein
gene_1769	gag-pol fusion protein
gene_1770	gag protein
gene_1771	hypothetical protein
gene_1772	RNA polymerase II subunit B1 CTD phosphatase RTR1
gene_1773	Emp65p
gene_1774	Cox15p
gene_1775	Mag1p
gene_1776	Ddi1p
gene_1777	putative ubiquitin-specific protease UBP5
gene_1778	high-affinity iron permease FTR1
gene_1779	hypothetical protein
gene_1780	RNA-binding protein LSM5
gene_1781	cohesin-loading factor complex subunit SCC4
gene_1782	TATA-binding protein
gene_1783	Pea2p
gene_1784	Spi1p
gene_1786	mRNA-binding ubiquitin-specific protease UBP3
gene_1787	2-aminoadipate transaminase
gene_1788	Pet122p
gene_1789	membrane insertase OXA1
gene_1790	Bem2p
gene_1791	hypothetical protein
gene_1792	Golgi transport complex subunit COG3
gene_1794	hypothetical protein
gene_1795	negative cofactor 2 transcription regulator complex subunit BUR6
gene_1797	gag-pol fusion protein
gene_1798	gag protein
gene_1799	Spt2p
gene_1800	Rad4p
gene_1801	gamma-glutamylcyclotransferase
gene_1802	chromatin-remodeling ATPase CHD1
gene_1803	polyadenylate-binding protein
gene_1804	aminophospholipid-translocating P4-type ATPase DNF1
gene_1805	Bck2p
gene_1806	tRNA adenylyltransferase
gene_1807	Rph1p
gene_1808	adenylate kinase ADK2
gene_1809	TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3
gene_1810	ATP-dependent RNA helicase BRR2
gene_1811	Rad24p
gene_1812	monothiol glutaredoxin GRX4
gene_1813	Tmt1p
gene_1814	hypothetical protein
gene_1815	Ecm32p
gene_1816	14-3-3 family protein BMH1
gene_1817	pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha
gene_1818	recombinase DMC1
gene_1819	Isc10p
gene_1820	Slo1p
gene_1822	hypothetical protein
gene_1823	Fmp10p
gene_1824	5-formyltetrahydrofolate cyclo-ligase
gene_1825	Tog1p
gene_1826	Pug1p
gene_1827	hypothetical protein
gene_1828	hypothetical protein
gene_1829	hypothetical protein
gene_1830	hypothetical protein
gene_1831	hypothetical protein
gene_1832	Y' element ATP-dependent helicase protein 1 copy 2
gene_1833	hypothetical protein
gene_1834	hypothetical protein
gene_1835	hypothetical protein
gene_1836	Y' element ATP-dependent helicase
gene_1837	hypothetical protein
gene_1838	hypothetical protein
gene_1839	Cos4p
gene_1840	cyanamide hydratase
gene_1841	putative pyridoxal 5'-phosphate synthase
gene_1842	pyridoxine biosynthesis protein SNZ3
gene_1843	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
gene_1845	Agp3p
gene_1846	Aqy3p
gene_1847	dihydroxyacetone kinase
gene_1848	DNA-binding domain containing protein
gene_1849	hypothetical protein
gene_1850	putative Mg(2+) transporter ALR2
gene_1851	Swp82p
gene_1852	Emp47p
gene_1853	Rgd2p
gene_1854	Fmp32p
gene_1855	phosphomannomutase SEC53
gene_1856	ubiquitin-specific protease OTU1
gene_1857	Lam5p
gene_1858	hypothetical protein
gene_1859	ferroxidase FET5
gene_1860	hypothetical protein
gene_1861	actin
gene_1862	Rab family GTPase YPT1
gene_1863	beta-tubulin
gene_1865	DNA-directed RNA polymerase
gene_1866	Mob2p
gene_1867	ribosomal 60S subunit protein L22B
gene_1868	Mil1p
gene_1869	protein kinase RIM15
gene_1870	transcription factor HAC1
gene_1871	alanine--glyoxylate transaminase
gene_1872	cyclin-dependent protein kinase-activating kinase CAK1
gene_1873	putative ATP-binding cassette family ATPase CAF16
gene_1874	Gyp8p
gene_1875	alpha-factor pheromone receptor STE2
gene_1876	Bst1p
gene_1877	Epl1p
gene_1878	Bud27p
gene_1879	phenylalanine--tRNA ligase subunit alpha
gene_1880	Gat1p
gene_1881	seripauperin PAU5
gene_1882	hypothetical protein
gene_1884	dihydrolipoyl dehydrogenase
gene_1885	mRNA splicing protein SMX2
gene_1886	glucosamine 6-phosphate N-acetyltransferase
gene_1887	Mdj1p
gene_1888	hypothetical protein
gene_1889	lipid-binding protein HSP12
gene_1890	Ies1p
gene_1891	hypothetical protein
gene_1892	hexose transporter HXT10
gene_1893	Aua1p
gene_1894	Wwm1p
gene_1895	SCF ubiquitin ligase complex subunit CDC4
gene_1896	cohesin subunit SMC1
gene_1897	Blm10p
gene_1898	Rab family GTPase SEC4
gene_1900	vacuolar transporter chaperone
gene_1901	MutS family protein MSH4
gene_1903	gag-pol fusion protein
gene_1904	gag protein
gene_1905	putative ATP-dependent RNA helicase SPB4
gene_1906	pseudouridine synthase DEG1
gene_1907	Loc1p
gene_1908	linker nucleoporin NIC96
gene_1909	type 1 protein phosphatase-activating protein YPI1
gene_1910	proteasome regulatory particle lid subunit RPN11
gene_1911	mRNA splicing protein SAD1
gene_1912	putative Xaa-Pro dipeptidase
gene_1914	Yfh7p
gene_1915	Far7p
gene_1917	putative AAA family ATPase GCN20
gene_1918	ubiquitin-specific protease UBP6
gene_1919	Mic19p
gene_1921	Dcv1p
gene_1922	hypothetical protein
gene_1923	Ioc3p
gene_1924	calmodulin-dependent protein kinase CMK1
gene_1925	glycogen (starch) synthase GSY1
gene_1926	hypothetical protein
gene_1928	Igd1p
gene_1929	hypothetical protein
gene_1930	1-phosphatidylinositol-3-phosphate 5-kinase
gene_1932	Css2p
gene_1933	phosphoinositide binding protein ATG18
gene_1934	Rog3p
gene_1936	Pes4p
gene_1937	Lsb3p
gene_1938	histidinol-phosphatase
gene_1940	Uli1p
gene_1941	Eco1p
gene_1942	phosphoprotein phosphatase CDC14
gene_1944	Ptr3p
gene_1945	sulfite reductase subunit alpha
gene_1946	condensin subunit SMC2
gene_1947	ribosomal 60S subunit protein L2A
gene_1949	Rrt5p
gene_1950	ribosomal 60S subunit protein L29
gene_1951	hypothetical protein
gene_1952	ubiquinol--cytochrome-c reductase subunit 6
gene_1953	phosphate-sensing transcription factor PHO4
gene_1954	hypothetical protein
gene_1956	anaphase promoting complex subunit CDC26
gene_1957	Rsc8p
gene_1958	putative ATPase
gene_1959	Osw7p
gene_1960	Sap155p
gene_1961	Erj5p
gene_1962	Keg1p
gene_1963	Irc6p
gene_1964	metallodipeptidase
gene_1965	hypothetical protein
gene_1966	centromere-binding protein CNN1
gene_1967	nicotinate-nucleotide diphosphorylase (carboxylating)
gene_1968	Rmd8p
gene_1969	mitochondrial 37S ribosomal protein YMR31
gene_1970	proteasome core particle subunit beta 7
gene_1971	coatomer subunit delta
gene_1972	proteasome regulatory particle lid subunit RPN12
gene_1973	hexokinase 1
gene_1974	hypothetical protein
gene_1975	cysteine-S-conjugate beta-lyase IRC7
gene_1976	hypothetical protein
gene_1977	Cos12p
gene_1978	hypothetical protein
gene_1979	seripauperin PAU11
gene_1980	hypothetical protein
gene_1981	Yps5p
gene_1982	hypothetical protein
gene_1983	Vel1p
gene_1984	alpha-1,3-mannosyltransferase MNT2
gene_1985	alcohol dehydrogenase ADH4
gene_1986	high-affinity Zn(2+) transporter ZRT1
gene_1987	Fzf1p
gene_1988	hexokinase 2
gene_1989	Rtg2p
gene_1990	Hfm1p
gene_1991	Rmr1p
gene_1992	Zip2p
gene_1994	3',5'-cyclic-nucleotide phosphodiesterase PDE1
gene_1995	Brr6p
gene_1996	decapping nuclease
gene_1997	glutamate--tRNA ligase GUS1
gene_1998	Rtf1p
gene_1999	tRNA-specific adenosine deaminase
gene_2000	hypothetical protein
gene_2001	Kap114p
gene_2002	anaphase promoting complex subunit DOC1
gene_2003	importin-alpha export receptor
gene_2004	Hap2p
gene_2005	tRNA modification protein MTO1
gene_2006	hypothetical protein
gene_2007	bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase
gene_2008	Rab GTPase-binding exocyst subunit SEC15
gene_2009	putative tRNA acetyltransferase
gene_2010	chaperone EMC4
gene_2011	hypothetical protein
gene_2012	Sap4p
gene_2013	She10p
gene_2014	glucose-induced degradation complex subunit VID30
gene_2015	dolichyl-diphosphooligosaccharide--protein glycotransferase subunit
gene_2016	Mtc3p
gene_2018	GDP-mannose transporter
gene_2019	nucleotidase
gene_2020	Golgi transport complex subunit COG1
gene_2021	Edc1p
gene_2022	hypothetical protein
gene_2023	Bol2p
gene_2024	ERMES complex subunit MDM34
gene_2025	tubulin-dependent ATPase KIP3
gene_2026	Clg1p
gene_2027	SKI complex subunit WD repeat protein SKI8
gene_2028	Vam7p
gene_2029	Ncs6p
gene_2030	Rab family GTPase YPT32
gene_2031	Mig2p
gene_2032	Sip2p
gene_2033	chromatin-remodeling protein SPT16
gene_2034	clathrin heavy chain
gene_2035	acyl-CoA oxidase
gene_2037	hypothetical protein
gene_2038	serine-type carboxypeptidase
gene_2040	bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase
gene_2041	MCM DNA helicase complex subunit MCM6
gene_2043	Emp24p
gene_2044	Yip4p
gene_2045	Mds3p
gene_2046	D-serine ammonia-lyase DSD1
gene_2047	Gcn1p
gene_2048	hypothetical protein
gene_2049	histone deacetylase HOS2
gene_2051	hypothetical protein
gene_2052	mRNA (N6-adenosine)-methyltransferase
gene_2053	cytochrome c oxidase subunit VIa
gene_2054	protein phosphatase 2A regulatory subunit CDC55
gene_2055	ribosomal 40S subunit protein S26A
gene_2056	hypothetical protein
gene_2057	cytochrome c oxidase subunit IV
gene_2058	Tpn1p
gene_2059	putative hydroxyacid dehydrogenase
gene_2060	cystathionine beta-lyase STR3
gene_2061	Mnd1p
gene_2062	Gts1p
gene_2063	serine/threonine protein kinase ATG1
gene_2064	serine/threonine protein kinase TOS3
gene_2065	Mpt5p
gene_2066	hypothetical protein
gene_2067	ssDNA endodeoxyribonuclease SAE2
gene_2068	Bud13p
gene_2069	chromatin-binding exonuclease XRN1
gene_2070	FG-nucleoporin NUP49
gene_2071	RNA-dependent ATPase ROK1
gene_2072	Spo74p
gene_2074	threonylcarbamoyladenylate synthase
gene_2075	Hur1p
gene_2076	Ca(2+)/Mn(2+)-transporting P-type ATPase PMR1
gene_2077	Cup2p
gene_2078	Yrb30p
gene_2079	DNA-dependent ATPase RAD54
gene_2080	Sut1p
gene_2081	Yip5p
gene_2082	putative metalloreductase
gene_2083	hypothetical protein
gene_2085	putative serine/threonine protein kinase RCK1
gene_2086	carbonyl reductase (NADPH-dependent) ARI1
gene_2087	alpha-mannosidase
gene_2088	protein geranylgeranyltransferase type I subunit CDC43
gene_2089	holo-[acyl-carrier-protein] synthase
gene_2090	Pex14p
gene_2091	Nut1p
gene_2092	chromatin-remodeling ATPase INO80
gene_2093	hypothetical protein
gene_2094	bifunctional chorismate synthase/riboflavin reductase [NAD(P)H] ARO2
gene_2095	ribosomal 60S subunit protein L9A
gene_2096	Rrt6p
gene_2097	Tip20p
gene_2098	putative lipase ROG1
gene_2099	Mrf1p
gene_2100	putative glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase
gene_2101	ubiquitin-ubiquitin ligase HUL5
gene_2102	hypothetical protein
gene_2103	putative flavin adenine dinucleotide transporter
gene_2104	hypothetical protein
gene_2105	coatomer subunit beta'
gene_2106	21S rRNA (uridine2791-2'-O) methyltransferase
gene_2107	ribosomal 60S subunit protein L1B
gene_2108	Pcl10p
gene_2109	Itc1p
gene_2110	DNA-binding E3 ubiquitin-protein ligase SNT2
gene_2111	mRNA guanylyltransferase
gene_2112	mitochondrial 37S ribosomal protein RSM23
gene_2113	U2-type spliceosomal complex subunit CWC23
gene_2114	Soh1p
gene_2115	Scs3p
gene_2116	methylenetetrahydrofolate reductase (NAD(P)H) MET13
gene_2117	Mon1p
gene_2118	ribosomal 40S subunit protein S2
gene_2119	mRNA-binding protein NAB2
gene_2120	Gpg1p
gene_2121	DEAH-box ATP-dependent RNA helicase PRP43
gene_2122	protein kinase COQ8
gene_2124	hypothetical protein
gene_2125	hypothetical protein
gene_2126	ubiquitin-protein transferase activating protein CDC20
gene_2127	AMP-activated serine/threonine-protein kinase regulatory subunit SNF4
gene_2128	hypothetical protein
gene_2129	Sld3p
gene_2130	Taf6p
gene_2131	ribosome biosynthesis protein NSA1
gene_2132	Cue3p
gene_2133	hypothetical protein
gene_2134	Rmd9p
gene_2135	Mlc1p
gene_2136	Arc1p
gene_2137	putative sugar transporter
gene_2138	ribosomal 60S subunit protein L28
gene_2139	hypothetical protein
gene_2140	Seh1p
gene_2141	putative GTPase LSG1
gene_2143	SNAP receptor USE1
gene_2145	Ran guanyl-nucleotide exchange factor
gene_2146	Tos8p
gene_2148	Vps45p
gene_2149	poly(A)-specific ribonuclease
gene_2150	Spc105p
gene_2151	nucleocytoplasmic transporter NUP145
gene_2152	Fe-S cluster-binding ATPase
gene_2153	Lif1p
gene_2154	Mf(alpha)2p
gene_2155	hypothetical protein
gene_2157	E2 ubiquitin-conjugating protein MMS2
gene_2158	coiled-coil domain-containing protein MAD1
gene_2159	Lcl3p
gene_2160	O-acyltransferase
gene_2161	Scy1p
gene_2162	hypothetical protein
gene_2163	hypothetical protein
gene_2164	pyruvate transporter MPC1
gene_2165	Kxd1p
gene_2166	RNA-dependent ATPase DBP3
gene_2167	Hnm1p
gene_2168	ribosomal 60S subunit protein L7A
gene_2171	Mps2p
gene_2172	stress-responsive transcription factor HSF1
gene_2173	DNA-binding transcription factor AFT1
gene_2174	DNA-directed RNA polymerase II core subunit RPB9
gene_2175	mitochondrial nucleoid protein MNP1
gene_2176	NAD(+) diphosphatase
gene_2177	deubiquitination module subunit SGF73
gene_2178	GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
gene_2179	ATP-dependent RNA helicase
gene_2180	pseudouridine synthase PUS2
gene_2181	pyruvate carboxylase 1
gene_2182	Duo1p
gene_2183	Ybp2p
gene_2184	protein kinase PKP2
gene_2185	E2 ubiquitin-conjugating protein RAD6
gene_2186	Gep7p
gene_2187	Sds23p
gene_2188	stearoyl-CoA 9-desaturase
gene_2189	cornichon family protein
gene_2191	pheromone-regulated DUP240 family protein PRM8
gene_2192	DUP240 family protein MST27
gene_2194	tRNA methyltransferase TYW3
gene_2195	translation initiation factor eIF4G
gene_2196	proteasome regulatory particle base subunit RPT6
gene_2197	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13
gene_2199	Rim8p
gene_2200	Rna15p
gene_2201	Dst1p
gene_2202	hypothetical protein
gene_2203	hypothetical protein
gene_2204	porphobilinogen synthase HEM2
gene_2206	carbonyl reductase (NADPH-dependent)
gene_2207	Och1p
gene_2208	nicotinamidase
gene_2209	hypothetical protein
gene_2210	transcription factor MIG1
gene_2211	hypothetical protein
gene_2212	Hop2p
gene_2213	Aga2p
gene_2214	ribosomal 60S subunit protein L24A
gene_2215	ribosomal 60S subunit protein L30
gene_2216	Cgr1p
gene_2218	putative glucan endo-1,3-beta-D-glucosidase
gene_2219	Cwh41p
gene_2220	tryptophan synthase TRP5
gene_2221	Pgd1p
gene_2222	Pib2p
gene_2223	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3
gene_2224	protein kinase ALK1
gene_2225	GET complex subunit GET1
gene_2226	casein kinase 2 regulatory subunit CKB1
gene_2227	J-type chaperone JAC1
gene_2228	arginyltransferase
gene_2229	Kap122p
gene_2230	hypothetical protein
gene_2231	Puf4p
gene_2232	drug-responsive transcription factor PDR1
gene_2233	delta(24(24(1)))-sterol reductase
gene_2234	proteasome core particle subunit alpha 1
gene_2235	Mpo1p
gene_2236	3-isopropylmalate dehydratase LEU1
gene_2237	H(+)-exporting P2-type ATPase PMA1
gene_2238	hypothetical protein
gene_2239	Brp1p
gene_2240	hypothetical protein
gene_2241	calcium-transporting ATPase PMC1
gene_2242	Golgi transport complex subunit COG7
gene_2243	Rpn14p
gene_2244	Cdh1p
gene_2245	Erp6p
gene_2246	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating)
gene_2247	protein-lysine N-methyltransferase
gene_2248	Swc4p
gene_2249	cullin CUL3
gene_2250	peroxisome biogenesis protein
gene_2251	transcription factor IIF subunit TFG2
gene_2252	mRNA splicing protein PRP18
gene_2253	ethanolamine-phosphate cytidylyltransferase
gene_2254	ATPase-stabilizing factor family protein
gene_2255	Sec9p
gene_2256	nicotinamide-nucleotide adenylyltransferase NMA2
gene_2257	putative cysteine synthase
gene_2258	Snu71p
gene_2259	Msb2p
gene_2260	putative hydrolase
gene_2261	hypothetical protein
gene_2262	hypothetical protein
gene_2263	hypothetical protein
gene_2264	4-aminobutyrate transaminase
gene_2265	H(+)-transporting V1 sector ATPase subunit F
gene_2266	hypothetical protein
gene_2267	Mtl1p
gene_2269	tRNA guanylyltransferase
gene_2270	hypothetical protein
gene_2271	hypothetical protein
gene_2272	ribosomal 40S subunit protein S25A
gene_2273	gag-pol fusion protein
gene_2274	gag protein
gene_2276	Msp1p
gene_2277	flavin-linked sulfhydryl oxidase
gene_2280	ribonuclease P/MRP protein subunit POP6
gene_2281	Imo32p
gene_2282	Nag1p
gene_2283	1,3-beta-glucan synthase GSC2
gene_2284	Tim21p
gene_2285	ribosomal 60S subunit protein L26B
gene_2286	hypothetical protein
gene_2287	hypothetical protein
gene_2288	Cax4p
gene_2289	long-chain fatty acid transporter ACB1
gene_2290	sphingolipid homeostasis protein ORM1
gene_2292	gag-pol fusion protein
gene_2293	gag protein
gene_2294	hypothetical protein
gene_2295	mitogen-activated serine/threonine-protein kinase KSS1
gene_2296	Bud9p
gene_2297	Mte1p
gene_2298	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase NQM1
gene_2299	Rme1p
gene_2300	hypothetical protein
gene_2301	putative phosphatidate cytidylyltransferase
gene_2302	transcription factor TFIIIC subunit TFC4
gene_2303	polyubiquitin-binding protein UFD1
gene_2304	Scm4p
gene_2305	hypothetical protein
gene_2306	protein kinase FMP48
gene_2307	hypothetical protein
gene_2308	hypothetical protein
gene_2309	Mup1p
gene_2310	RSC subunit protein RSC1
gene_2311	Lst7p
gene_2312	Pef1p
gene_2313	septin SPR3
gene_2315	methylsterol monooxygenase
gene_2316	phosphoribosylformylglycinamidine synthase
gene_2317	membrane insertase COX18
gene_2318	transcription elongation factor SPT4
gene_2319	Vht1p
gene_2320	hypothetical protein
gene_2321	hypothetical protein
gene_2322	Art5p
gene_2323	Rho family guanine nucleotide exchange factor ROM1
gene_2324	Env11p
gene_2325	Upf3p
